nume,predictii_pret
Audi Q8 50 TDI quattro tiptronic,56320.56385293373
Renault Clio IV dCi Energy Life,7597.281437857153
Citroën C4 BlueHDi 100 Business Class,9952.207959342317
Volkswagen Beetle The 1.6 TDI DPF Blue Motion Technologie,8277.385027386195
Ford Kuga 1.5 EcoBoost 4WD Aut. Titanium,24287.080613666476
Volkswagen T-ROC 1.6 TDI Design,16626.751416221625
BMW Seria 1 118d Sport Line,8005.635692486239
Jaguar I-Pace EV400 AWD HSE,40276.230597785434
Volkswagen Passat,22013.91426061649
Toyota Corolla 2.0 HSD Exclusive Plus GR Sport,20855.667904368027
Volvo XC 40 B4 AT8 AWD Mild Hybrid Inscription,48108.18218361072
Audi A6 Avant 2.7 TDI DPF multitronic,9037.498779121459
Mercedes-Benz E 220 d Aut.,32295.212459705857
Peugeot 3008 1.6 BlueHDI S&S EAT6 Active,10511.351683190083
Dacia Sandero Stepway,7986.412588643594
Ford Focus Turnier 1.5 EcoBlue Start-Stopp-System ST-LINE,9496.070428812254
Audi A4 2.0 TFSI ultra S tronic Design,19665.99732433409
Volkswagen Golf Plus 2.0 TDI DPF Highline,8053.301770332097
Toyota C-HR 2.0 HSD 184 CP 4x2 CVT Style,35781.59164193961
Volkswagen Transporter T5 7JD142/WF2/ZP1,7613.461992315876
Audi Q5 2.0 TDI (clean diesel) ultra,16836.097380333962
Audi A4 Avant 2.0 TDI,13637.142669929704
Renault Koleos ENERGY dCi 130 INTENS,14654.102585328019
Renault Kadjar BLUE dCi 115 BUSINESS EDITION,16843.648216903115
Dacia Jogger 7 locuri TCe 110 Extreme,41480.18282369463
Mercedes-Benz GLA 200 d 4MATIC Aut.,24463.201765389924
Mitsubishi Outlander 2.0 4WD Plug-In Hybrid Top,17486.522114355714
Opel Antara 2.2 CDTI ecoFLEX Start/Stop Selection,10484.878169621956
Renault Megane TCe 140 GPF Life,16176.453415436532
Audi A5 2.0 TDI Sportback DPF (clean diesel) multitronic,12209.35376474966
Mercedes-Benz C 300 e 4Matic 9G-TRONIC AMG Line,71930.67963281988
BMW Seria 4 420d Gran Coupe xDrive Aut.,13453.519502533942
Dacia Duster 1.5 dCi 4x4 Prestige,8877.969284861038
Kia Sportage 1.6 T-GDI 6MT 4x2 Urban,27607.004982569313
Toyota RAV4 2.0 4x2 Start&Stop,20561.909611304767
Volkswagen Golf 1.2 TSI DSG Comfortline,8382.225526055217
Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line Plus,37717.76656611522
Mercedes-Benz GLC 220 d 4MATIC,32093.254718601198
BMW Seria 3,21641.84555930013
Jeep Compass 1.6 M-Jet 4x2 Longitude,15123.143680741387
Mercedes-Benz A 180 d Sedan Aut.,21956.726143428346
BMW Seria 5 530d xDrive MHEV,57246.25199915586
Mercedes-Benz EQE SUV 350 4MATIC AMG Line Premium,74837.24489741054
Volkswagen Taigo 1.5 TSI DSG Style,29808.36163920856
Maserati Levante,96519.15453000319
Ford Tourneo Connect Grand 1.5 EcoBlue Aut. Start/Stop Titanium,12518.411047349256
Audi A3 30 TDI Sportback,16930.50118065598
Citroën Jumper 30 L1H1 Club,23901.722223389806
Volkswagen Touareg V6 TDI Atmosphere,54441.21316026166
Mercedes-Benz V,23267.277429963284
Audi A4,4456.617909769155
Audi A3 2.0 TDI Design,14643.279339537283
Land Rover Range Rover Evoque 2.2 TD4 Prestige,15208.852798486518
Hyundai Grand Santa Fe 2.2 CRDi 4WD Automatik Luxury,18839.465978730324
Ford Focus 1.6 TDCi DPF Titanium,5594.001945281842
Mercedes-Benz GLE Coupe 400 d 4Matic 9G-TRONIC AMG Line,67772.26409210035
Audi A5 Sportback 40 TDI S tronic,33010.04953361988
Skoda Superb Combi 2.0 TDI DSG 4X4 Style,21667.013128260096
Mazda 5,3722.161728333282
Volkswagen Touareg V6 TDI,45665.02448937154
Renault Kadjar TCe 140 GPF Intens,15643.826868429183
Volkswagen ID.4 77 kWh Pro Performance,36316.809880183515
Mercedes-Benz E,15567.230937468546
BMW Seria 7 730d xDrive,19674.07798328355
Mercedes-Benz GLC Coupe 250 d 4Matic 9G-TRONIC Exclusive,33593.363674765926
Volkswagen Polo 1.6 TDI Comfortline,6180.367555046487
Renault Talisman Energy dCi EDC Intens,20947.545621293397
Volkswagen Passat,20740.398849632595
Ford Transit Custom,15397.751962114753
Ford Ranger Pick-Up 3.0 EcoBoost 288 CP 4x4 Cabina Dubla Raptor Aut.,67048.90979032598
Volkswagen Caddy 2.0 TDI,13973.0933251874
Dacia Sandero,6900.207462537713
BMW Seria 3 318d GT Luxury Line,13002.785723002795
Ford Puma 1.0 EcoBoost mHEV Titanium,21128.16029276875
Audi A5 2.0 TDI Sportback DPF multitronic,11929.561723293684
Mazda CX-60 e-Skyactiv PHEV Takumi,52504.54705779054
Volkswagen Multivan,23325.720359263494
Volkswagen Golf 2.0 TDI DSG Comfortline,22467.779059583845
Ford Kuga,40343.20393060134
Volkswagen Touareg 3.0 V6 TDI Blue Motion DPF Automatik,11819.708601673221
Mercedes-Benz GLC Coupe 43 AMG 4MATIC,54259.62613552663
Mercedes-Benz GLC Coupe 300 e 4MATIC,93284.27945832002
Volkswagen Tiguan 1.4 TSI BlueMotion Technology Sport & Style,10236.863817928139
Volkswagen Polo 1.0 TSI Life,14094.829754356637
Audi A5 Sportback 2.0 TDI S tronic sport,22147.301025470268
Audi A6 Avant 3.0 TDI quattro Tiptronic,14311.258754784658
Ford Kuga,18494.44412059144
Volvo V40 Cross Country D3 Geartronic,11424.646946005476
Mercedes-Benz GLC 300 de 4MATIC,45330.44118567789
Toyota Avensis Combi 2.0 D-4D Executive,5697.367901426901
Volkswagen Touareg V6 TDI R-Style,81730.7305147918
Audi A6 Allroad 3.0 TDI Quattro S tronic,17656.27729186488
Volkswagen Passat 2.0 TDI DSG R Executive,18035.46884071616
Land Rover Range Rover Sport,55116.09481216508
Audi A4 Avant 2.0 TDI quattro S tronic Design,22005.26798534778
BMW X5 xDrive30d,13085.916988444724
Audi A6 3.0 TDI quattro S tronic,27868.91156419855
Renault Alaskan Double Cab 4x4 dCi 190 Aut. EXPERIENCE,21676.714054029817
Skoda Octavia Combi 1.5 TSI Style,13290.898954507678
Land Rover Defender 90 3.0P 400 MHEV XS Edition,79786.19202903446
Volkswagen Golf,2830.638460276609
Toyota RAV4,44268.944367906755
BMW X5 xDrive40e,32783.8260801902
Nissan X-Trail,20605.783252756308
Ford Fiesta 1.4i Comfort,2938.107166874249
Nissan Qashqai 1.6 Visia,7920.068254995937
Mercedes-Benz GLC Coupe,37918.69871103591
Dacia Logan MCV 1.5 Blue dCi SL PLUS,7184.743292149086
Volkswagen Jetta 1.2 TSI Trendline,9844.060113769432
Toyota Highlander,54488.400636147664
BMW Seria 5 530d xDrive,11971.357610568619
Mazda 6 2.0i CD Sport Combi TE,3145.964483889639
Mercedes-Benz CLA 250 7G-DCT Sport,32358.77001928618
Renault Megane ENERGY dCi 110 GT LINE,5438.754262877408
Volkswagen Golf 2.0 TSI GTI DSG,9994.50299091718
Volkswagen Passat,22111.01861082825
Audi A6,28647.36607057444
Volkswagen Jetta 1.6 TDI CR DPF DSG Comfortline,9753.975410159823
Mazda 2,23998.01019033273
